time_ps,leached_count
0.000000,3
0.010000,3
0.020000,3
0.030000,3
0.040000,3
0.050000,3
0.060000,3
0.070000,3
0.080000,3
0.090000,4
0.100000,4
0.110000,3
0.120000,3
0.130000,3
0.140000,3
0.150000,3
0.160000,3
0.170000,3
0.180000,3
0.190000,3
0.200000,3
0.210000,3
0.220000,3
0.230000,3
0.240000,3
0.250000,3
0.260000,3
0.270000,3
0.280000,3
0.290000,3
0.300000,3
0.310000,3
0.320000,3
0.330000,3
0.340000,3
0.350000,3
0.360000,3
0.370000,3
0.380000,3
0.390000,3
0.400000,3
0.410000,3
0.420000,3
0.430000,3
0.440000,3
0.450000,3
0.460000,3
0.470000,3
0.480000,3
0.490000,3
0.500000,3
0.510000,3
0.520000,3
0.530000,3
0.540000,3
0.550000,3
0.560000,3
0.570000,3
0.580000,3
0.590000,3
0.600000,3
0.610000,3
0.620000,3
0.630000,3
0.640000,3
0.650000,3
0.660000,3
0.670000,3
0.680000,3
0.690000,3
0.700000,3
0.710000,3
0.720000,3
0.730000,3
0.740000,3
0.750000,3
0.760000,3
0.770000,3
0.780000,3
0.790000,3
0.800000,3
0.810000,3
0.820000,3
0.830000,3
0.840000,3
0.850000,3
0.860000,3
0.870000,3
0.880000,3
0.890000,3
0.900000,3
0.910000,3
0.920000,3
0.930000,3
0.940000,3
0.950000,3
0.960000,3
0.970000,3
0.980000,3
0.990000,3
1.000000,3
1.010000,3
1.020000,3
1.030000,3
1.040000,3
1.050000,3
1.060000,3
1.070000,3
1.080000,3
1.090000,3
1.100000,3
1.110000,3
1.120000,3
1.130000,3
1.140000,3
1.150000,3
1.160000,3
1.170000,3
1.180000,4
1.190000,4
1.200000,4
1.210000,4
1.220000,4
1.230000,4
1.240000,4
1.250000,4
1.260000,3
1.270000,3
1.280000,3
1.290000,3
1.300000,3
1.310000,3
1.320000,3
1.330000,3
1.340000,3
1.350000,3
1.360000,3
1.370000,3
1.380000,3
1.390000,3
1.400000,3
1.410000,3
1.420000,3
1.430000,3
1.440000,3
1.450000,3
1.460000,3
1.470000,2
1.480000,2
1.490000,2
1.500000,2
1.510000,3
1.520000,3
1.530000,3
1.540000,3
1.550000,3
1.560000,3
1.570000,3
1.580000,3
1.590000,3
1.600000,3
1.610000,3
1.620000,3
1.630000,3
1.640000,3
1.650000,3
1.660000,3
1.670000,3
1.680000,3
1.690000,3
1.700000,3
1.710000,3
1.720000,4
1.730000,4
1.740000,4
1.750000,3
1.760000,3
1.770000,3
1.780000,3
1.790000,3
1.800000,3
1.810000,3
1.820000,3
1.830000,3
1.840000,3
1.850000,3
1.860000,3
1.870000,3
1.880000,3
1.890000,3
1.900000,3
1.910000,3
1.920000,3
1.930000,3
1.940000,3
1.950000,3
1.960000,3
1.970000,3
1.980000,3
1.990000,3
2.000000,3
