time_ps,leached_count
0.000000,3
0.010000,3
0.020000,3
0.030000,3
0.040000,3
0.050000,3
0.060000,3
0.070000,3
0.080000,3
0.090000,3
0.100000,3
0.110000,3
0.120000,3
0.130000,3
0.140000,4
0.150000,4
0.160000,4
0.170000,4
0.180000,4
0.190000,3
0.200000,3
0.210000,3
0.220000,3
0.230000,3
0.240000,3
0.250000,3
0.260000,3
0.270000,3
0.280000,3
0.290000,3
0.300000,3
0.310000,3
0.320000,3
0.330000,3
0.340000,3
0.350000,3
0.360000,3
0.370000,3
0.380000,3
0.390000,3
0.400000,3
0.410000,3
0.420000,3
0.430000,3
0.440000,3
0.450000,3
0.460000,4
0.470000,4
0.480000,3
0.490000,3
0.500000,3
0.510000,3
0.520000,3
0.530000,3
0.540000,3
0.550000,3
0.560000,3
0.570000,3
0.580000,3
0.590000,3
0.600000,3
0.610000,3
0.620000,3
0.630000,3
0.640000,3
0.650000,3
0.660000,3
0.670000,3
0.680000,3
0.690000,3
0.700000,3
0.710000,3
0.720000,3
0.730000,3
0.740000,3
0.750000,3
0.760000,3
0.770000,3
0.780000,3
0.790000,3
0.800000,3
0.810000,3
0.820000,3
0.830000,3
0.840000,3
0.850000,3
0.860000,3
0.870000,3
0.880000,3
0.890000,3
0.900000,3
0.910000,3
0.920000,3
0.930000,3
0.940000,3
0.950000,3
0.960000,3
0.970000,3
0.980000,3
0.990000,3
1.000000,3
1.010000,3
1.020000,3
1.030000,3
1.040000,3
1.050000,3
1.060000,3
1.070000,3
1.080000,3
1.090000,3
1.100000,3
1.110000,3
1.120000,3
1.130000,3
1.140000,3
1.150000,3
1.160000,3
1.170000,3
1.180000,3
1.190000,3
1.200000,3
1.210000,3
1.220000,3
1.230000,3
1.240000,3
1.250000,3
1.260000,3
1.270000,3
1.280000,3
1.290000,3
1.300000,3
1.310000,3
1.320000,3
1.330000,3
1.340000,3
1.350000,3
1.360000,3
1.370000,3
1.380000,3
1.390000,3
1.400000,3
1.410000,3
1.420000,3
1.430000,3
1.440000,3
1.450000,3
1.460000,3
1.470000,3
1.480000,3
1.490000,3
1.500000,3
1.510000,3
1.520000,3
1.530000,3
1.540000,3
1.550000,3
1.560000,3
1.570000,3
1.580000,3
1.590000,3
1.600000,3
1.610000,3
1.620000,3
1.630000,3
1.640000,3
1.650000,3
1.660000,3
1.670000,3
1.680000,3
1.690000,3
1.700000,3
1.710000,3
1.720000,3
1.730000,3
1.740000,3
1.750000,3
1.760000,3
1.770000,3
1.780000,3
1.790000,3
1.800000,3
1.810000,3
1.820000,3
1.830000,3
1.840000,3
1.850000,3
1.860000,3
1.870000,3
1.880000,3
1.890000,3
1.900000,3
1.910000,3
1.920000,3
1.930000,3
1.940000,3
1.950000,3
1.960000,3
1.970000,3
1.980000,3
1.990000,3
2.000000,3
2.010000,3
2.020000,3
2.030000,3
2.040000,3
2.050000,3
2.060000,3
2.070000,3
2.080000,3
2.090000,3
2.100000,3
2.110000,3
2.120000,3
2.130000,3
2.140000,3
2.150000,3
2.160000,3
2.170000,3
2.180000,3
2.190000,3
2.200000,3
2.210000,3
2.220000,3
2.230000,3
2.240000,3
2.250000,3
2.260000,3
2.270000,3
2.280000,3
2.290000,3
2.300000,3
2.310000,3
2.320000,3
2.330000,3
2.340000,3
2.350000,3
2.360000,3
2.370000,3
2.380000,3
2.390000,3
2.400000,3
2.410000,3
2.420000,3
2.430000,3
2.440000,3
2.450000,3
2.460000,3
2.470000,3
2.480000,3
2.490000,3
2.500000,3
2.510000,3
2.520000,3
2.530000,3
2.540000,3
2.550000,3
2.560000,3
2.570000,3
2.580000,3
2.590000,3
2.600000,3
2.610000,3
2.620000,3
2.630000,3
2.640000,3
2.650000,3
2.660000,3
2.670000,3
2.680000,3
2.690000,3
2.700000,3
2.710000,3
2.720000,3
2.730000,3
2.740000,3
2.750000,3
2.760000,3
2.770000,3
2.780000,3
2.790000,3
2.800000,3
2.810000,3
2.820000,3
2.830000,3
2.840000,3
2.850000,3
2.860000,3
2.870000,3
2.880000,3
2.890000,3
2.900000,3
2.910000,3
2.920000,3
2.930000,3
2.940000,3
2.950000,3
2.960000,3
2.970000,3
2.980000,3
2.990000,3
3.000000,3
3.010000,3
3.020000,3
3.030000,3
3.040000,3
3.050000,3
3.060000,3
3.070000,3
3.080000,3
3.090000,3
3.100000,3
3.110000,3
3.120000,3
3.130000,3
3.140000,3
3.150000,3
3.160000,3
3.170000,3
3.180000,3
3.190000,3
3.200000,4
3.210000,4
3.220000,4
3.230000,4
3.240000,4
3.250000,3
3.260000,3
3.270000,3
3.280000,3
3.290000,3
3.300000,3
3.310000,3
3.320000,3
3.330000,3
3.340000,3
3.350000,3
3.360000,4
3.370000,4
3.380000,4
3.390000,4
3.400000,4
3.410000,4
3.420000,4
3.430000,4
3.440000,4
3.450000,4
3.460000,4
3.470000,3
3.480000,3
3.490000,3
3.500000,3
3.510000,3
3.520000,4
3.530000,4
3.540000,4
3.550000,4
3.560000,4
3.570000,4
3.580000,4
3.590000,4
3.600000,4
3.610000,4
3.620000,4
3.630000,4
3.640000,4
3.650000,4
3.660000,4
3.670000,4
3.680000,4
3.690000,4
3.700000,4
3.710000,4
3.720000,4
3.730000,4
3.740000,4
3.750000,4
3.760000,4
3.770000,3
3.780000,3
3.790000,3
3.800000,3
3.810000,3
3.820000,3
3.830000,3
3.840000,3
3.850000,3
3.860000,3
3.870000,3
3.880000,3
3.890000,3
3.900000,4
3.910000,4
3.920000,4
3.930000,4
3.940000,4
3.950000,4
3.960000,4
3.970000,4
3.980000,4
3.990000,4
4.000000,4
4.010000,3
4.020000,3
4.030000,3
4.040000,3
4.050000,2
4.060000,2
4.070000,2
4.080000,3
4.090000,3
4.100000,4
4.110000,4
4.120000,4
4.130000,4
4.140000,4
4.150000,4
4.160000,4
4.170000,4
4.180000,4
4.190000,4
4.200000,4
4.210000,4
4.220000,4
4.230000,4
4.240000,4
4.250000,4
4.260000,4
4.270000,4
4.280000,4
4.290000,4
4.300000,4
4.310000,4
4.320000,4
4.330000,4
4.340000,4
4.350000,4
4.360000,4
4.370000,4
4.380000,4
4.390000,4
4.400000,3
4.410000,3
4.420000,3
4.430000,3
4.440000,3
4.450000,3
4.460000,3
4.470000,3
4.480000,3
4.490000,3
4.500000,3
4.510000,3
4.520000,3
4.530000,3
4.540000,3
4.550000,3
4.560000,3
4.570000,3
4.580000,3
4.590000,3
4.600000,3
4.610000,3
4.620000,3
4.630000,4
4.640000,4
4.650000,4
4.660000,4
4.670000,4
4.680000,4
4.690000,4
4.700000,4
4.710000,4
4.720000,4
4.730000,4
4.740000,4
4.750000,4
4.760000,4
4.770000,4
4.780000,4
4.790000,4
4.800000,4
4.810000,4
4.820000,3
4.830000,3
4.840000,3
4.850000,3
4.860000,3
4.870000,3
4.880000,4
4.890000,4
4.900000,3
4.910000,3
4.920000,3
4.930000,3
4.940000,3
4.950000,3
4.960000,3
4.970000,3
4.980000,3
4.990000,3
5.000000,3
5.010000,3
5.020000,3
5.030000,3
5.040000,3
5.050000,3
5.060000,3
5.070000,3
5.080000,3
5.090000,3
5.100000,2
5.110000,2
5.120000,2
5.130000,2
5.140000,2
5.150000,2
5.160000,2
5.170000,3
5.180000,3
5.190000,3
5.200000,3
5.210000,3
5.220000,4
5.230000,4
5.240000,4
5.250000,4
5.260000,3
5.270000,3
5.280000,3
5.290000,3
5.300000,3
5.310000,3
5.320000,3
5.330000,3
5.340000,3
5.350000,3
5.360000,3
5.370000,3
5.380000,3
5.390000,3
5.400000,3
5.410000,3
5.420000,3
5.430000,3
5.440000,3
5.450000,3
5.460000,3
5.470000,3
5.480000,4
5.490000,3
5.500000,3
5.510000,3
5.520000,3
5.530000,3
5.540000,3
5.550000,3
5.560000,2
5.570000,2
5.580000,2
5.590000,3
5.600000,3
5.610000,3
5.620000,3
5.630000,3
5.640000,3
5.650000,3
5.660000,3
5.670000,3
5.680000,3
5.690000,3
5.700000,3
5.710000,3
5.720000,3
5.730000,3
5.740000,3
5.750000,3
5.760000,3
5.770000,3
5.780000,3
5.790000,2
5.800000,3
5.810000,3
5.820000,3
5.830000,4
5.840000,4
5.850000,4
5.860000,3
5.870000,3
5.880000,3
5.890000,3
5.900000,3
5.910000,2
5.920000,2
5.930000,2
5.940000,2
5.950000,2
5.960000,2
5.970000,2
5.980000,2
5.990000,2
6.000000,2
6.010000,2
6.020000,2
6.030000,2
6.040000,2
6.050000,2
6.060000,2
6.070000,2
6.080000,2
6.090000,2
6.100000,2
6.110000,2
6.120000,3
6.130000,3
6.140000,3
6.150000,3
6.160000,3
6.170000,3
6.180000,3
6.190000,3
6.200000,3
6.210000,4
6.220000,4
6.230000,4
6.240000,4
